,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
1627,Honda,2016,773000,65000,Petrol,Individual,Manual,First Owner,17.8,1497.0,117.3,5.0
1628,Tata,2017,450000,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0
1629,Maruti,2019,409999,10000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5.0
1632,Chevrolet,2010,250000,63000,Petrol,Individual,Manual,First Owner,18.6,1199.0,79.4,5.0
1633,Tata,2008,70000,100000,Diesel,Individual,Manual,First Owner,16.8,1405.0,62.0,5.0
1634,Maruti,2018,430000,16589,Petrol,Trustmark Dealer,Manual,First Owner,20.51,998.0,67.04,5.0
1635,Honda,2016,675000,53201,Petrol,Trustmark Dealer,Manual,Second Owner,17.8,1497.0,117.3,5.0
1636,Maruti,2017,570000,25272,Petrol,Trustmark Dealer,Manual,First Owner,21.01,1197.0,81.8,5.0
1637,Maruti,2017,850000,53619,Diesel,Trustmark Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0
1638,Ford,2018,640000,6001,Petrol,Dealer,Manual,First Owner,15.9,1496.0,120.69,5.0
1639,Tata,2013,250000,80000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0
1640,Renault,2018,1250000,12000,Diesel,Individual,Manual,First Owner,19.6,1461.0,108.45,5.0
1642,Hyundai,2017,750000,40000,Diesel,Individual,Manual,Second Owner,22.54,1396.0,88.73,5.0
1643,Maruti,2010,320000,130000,Diesel,Individual,Manual,Third Owner,17.8,1248.0,75.0,5.0
1645,Maruti,2018,1000000,40000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0
1647,Honda,2008,250000,120000,Petrol,Individual,Manual,Second Owner,17.7,1497.0,78.0,5.0
1648,Maruti,2015,600000,60000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0
1649,Maruti,2009,165000,60000,Petrol,Individual,Manual,First Owner,19.0,998.0,67.1,5.0
1650,Maruti,2004,118000,60000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
1651,Maruti,2016,700000,78000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0
1652,Renault,2013,585000,80000,Diesel,Individual,Manual,Second Owner,20.46,1461.0,83.8,5.0
1653,Maruti,2006,120000,120000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0
1655,Maruti,2006,150000,100000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
1656,Maruti,2009,150000,70000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0
1657,Hyundai,2004,170000,160000,Diesel,Individual,Manual,Third Owner,13.1,1493.0,82.0,5.0
1659,Hyundai,2005,100000,100000,Diesel,Individual,Manual,Third Owner,13.1,1493.0,82.0,5.0
1662,Maruti,2016,570000,90000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0
1663,Volkswagen,2013,440000,75000,Diesel,Individual,Manual,Second Owner,22.07,1199.0,73.9,5.0
1665,Nissan,2015,300000,71717,Petrol,Individual,Automatic,Second Owner,19.34,1198.0,76.0,5.0
1667,Maruti,2016,660000,55000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0
1668,Ford,2012,256000,90000,Petrol,Individual,Manual,Second Owner,15.3,1596.0,99.6,5.0
1669,Renault,2018,409999,35000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0
1671,Hyundai,2011,250000,100000,LPG,Individual,Manual,Second Owner,13.45,1086.0,62.1,5.0
1675,Maruti,2014,190000,60000,Petrol,Individual,Manual,First Owner,19.0,998.0,67.1,5.0
1680,Tata,2011,200000,84321,Diesel,Individual,Manual,First Owner,23.57,1396.0,70.0,5.0
1682,Tata,2010,175000,60000,Diesel,Individual,Manual,First Owner,18.0,1248.0,75.0,5.0
1684,Hyundai,2008,215000,70000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0
1685,Renault,2013,520000,126000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0
1687,Tata,2015,285000,70000,Diesel,Individual,Manual,First Owner,19.1,1405.0,70.0,5.0
1690,Maruti,2015,515000,45000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0
1691,Nissan,2012,295000,70000,Diesel,Individual,Manual,Second Owner,21.64,1461.0,84.8,5.0
1692,Nissan,2015,700000,80000,Diesel,Individual,Manual,Second Owner,20.45,1461.0,83.8,5.0
1694,Hyundai,2017,300000,60000,Petrol,Individual,Manual,First Owner,20.3,998.0,68.05,5.0
1695,Maruti,2013,450000,41800,Petrol,Individual,Manual,First Owner,18.6,1197.0,85.8,5.0
1696,Maruti,2017,700000,50000,Diesel,Individual,Manual,Second Owner,28.4,1248.0,74.02,5.0
1697,Ford,2012,250000,40000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0
1698,Maruti,2009,140000,96000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0
1700,Hyundai,2011,210000,110000,Petrol,Individual,Manual,Second Owner,19.81,1086.0,68.05,5.0
1701,Honda,2014,420000,100000,Diesel,Individual,Manual,Second Owner,25.8,1498.0,98.6,5.0
1702,Maruti,2007,130000,88700,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,5.0
1703,Nissan,2012,320000,70000,Petrol,Individual,Manual,Second Owner,16.95,1498.0,97.7,5.0
1704,Maruti,2010,200000,110000,Petrol,Individual,Manual,Second Owner,17.3,1061.0,64.0,5.0
1705,Maruti,2016,310000,15000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
1706,Mahindra,2012,200000,80000,Diesel,Individual,Manual,Second Owner,20.8,1461.0,65.0,5.0
1707,Maruti,2014,350000,50000,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,5.0
1708,Hyundai,2018,444000,15000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0
1709,Datsun,2017,300000,25000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,5.0
1710,Mahindra,2011,225000,57000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0
1712,Maruti,2013,260000,26000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5.0
1713,Hyundai,2015,375000,160000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.01,5.0
1714,Maruti,2010,150000,120000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
1715,Maruti,2014,110000,50000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
1716,Maruti,2012,225000,40000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0
1717,Honda,2017,860000,28000,Petrol,Individual,Manual,First Owner,17.8,1497.0,117.3,5.0
1718,Maruti,2018,650000,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0
1720,Hyundai,2016,710000,40000,Diesel,Individual,Manual,First Owner,24.8,1396.0,88.7,5.0
1721,Ford,2017,430000,113000,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,5.0
1722,Maruti,2011,305000,188000,Diesel,Individual,Manual,Second Owner,17.8,1248.0,75.0,5.0
1723,Ford,2011,220000,100000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0
1726,Chevrolet,2011,140000,70000,Diesel,Individual,Manual,Fourth & Above Owner,25.44,936.0,57.6,5.0
1729,Volkswagen,2017,625000,34000,Diesel,Individual,Automatic,First Owner,22.0,1498.0,108.495,5.0
1730,Honda,2004,198000,110000,Petrol,Individual,Manual,Third Owner,12.8,1493.0,100.0,5.0
1731,Maruti,2005,130000,140000,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0
1732,Honda,2012,540000,100000,Petrol,Individual,Manual,Second Owner,16.8,1497.0,116.3,5.0
1733,Hyundai,2017,550000,10000,Petrol,Individual,Automatic,First Owner,18.9,1197.0,81.86,5.0
1734,Maruti,2018,475000,30000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0
1739,Hyundai,2018,540000,7000,Petrol,Dealer,Manual,First Owner,20.3,1086.0,68.0,5.0
1741,Maruti,2019,484999,4875,Petrol,Dealer,Manual,First Owner,21.63,998.0,67.04,5.0
1743,Maruti,2018,950000,58511,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0
1744,Ford,2015,365000,105000,Diesel,Dealer,Manual,First Owner,25.83,1498.0,99.0,5.0
1746,Tata,2017,919999,26766,Diesel,Dealer,Manual,First Owner,21.5,1497.0,108.5,5.0
1750,Maruti,2017,600000,24522,Petrol,Dealer,Manual,First Owner,20.4,1197.0,81.8,5.0
1753,Maruti,2016,839000,63000,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0
1754,Volkswagen,2019,635000,2000,Petrol,Dealer,Manual,First Owner,16.2,1199.0,74.0,5.0
1756,Mahindra,2011,180000,190000,Diesel,Individual,Manual,Third Owner,19.2,1461.0,65.0,5.0
1757,Honda,2015,650000,80000,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,5.0
1758,Honda,2011,350000,80000,Petrol,Individual,Manual,Second Owner,16.0,1198.0,90.0,5.0
1759,Maruti,2015,265000,54000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0
1760,Renault,2018,330000,30000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0
1763,Ford,2012,300000,90000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0
1766,Volkswagen,2014,425000,80000,Diesel,Individual,Manual,Second Owner,15.11,1598.0,103.6,5.0
1768,Tata,2015,250000,80000,Diesel,Individual,Manual,Second Owner,19.09,1405.0,69.01,5.0
1771,Chevrolet,2014,300000,50000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5.0
1772,Ford,2018,950000,27620,Diesel,Dealer,Manual,First Owner,22.77,1498.0,98.59,5.0
1775,Hyundai,2015,500000,58000,Petrol,Individual,Manual,First Owner,17.19,1197.0,81.86,5.0
1776,Nissan,2012,350000,50000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5.0
1777,Maruti,2017,550000,40000,Petrol,Individual,Automatic,First Owner,20.89,1197.0,81.8,5.0
1778,Honda,2018,850000,7800,Petrol,Individual,Manual,First Owner,17.5,1199.0,88.7,5.0
1779,Maruti,2016,240000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
1782,Tata,2005,90000,74000,Petrol,Individual,Manual,Second Owner,12.8,1396.0,85.0,5.0
1784,Maruti,2011,170000,70000,Petrol,Individual,Manual,Third Owner,19.0,998.0,66.1,5.0
1785,Ford,2015,450000,70000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0
1786,Hyundai,2009,150000,110000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0
1787,Hyundai,2016,511000,80000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0
1789,Tata,2018,250000,110000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,5.0
1790,Maruti,2020,420000,25000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0
1791,Maruti,2014,180000,55000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
1792,Maruti,2015,400000,25000,Diesel,Individual,Manual,First Owner,27.62,793.0,47.0,5.0
1794,Ford,2016,500000,143200,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,5.0
1796,Nissan,2012,204999,120000,Diesel,Individual,Manual,First Owner,23.08,1461.0,63.1,5.0
1797,Maruti,2014,459999,145000,Diesel,Individual,Manual,Second Owner,26.21,1248.0,88.5,5.0
1798,Hyundai,2017,600000,30000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0
1799,Hyundai,2019,585000,8000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0
1801,Maruti,2013,525000,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0
1802,Maruti,2012,160000,62000,Petrol,Individual,Manual,First Owner,14.0,796.0,35.0,5.0
1805,Maruti,2002,65000,80000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0
1806,Maruti,2013,550000,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0
1808,Maruti,2019,750000,24000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0
1811,Maruti,2003,50000,147000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998.0,67.1,5.0
1813,Chevrolet,2011,150000,80000,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,5.0
1814,Maruti,2016,245000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
1815,Tata,2013,260000,189000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0
1816,Volkswagen,2014,411000,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498.0,103.2,5.0
1817,Hyundai,2014,450000,56000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0
1819,Maruti,2016,351000,60000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0
1822,Nissan,2016,750000,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0
1823,Nissan,2015,800000,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0
1825,Maruti,2013,200000,90000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
1826,Tata,2008,150000,60000,Diesel,Individual,Manual,Third Owner,17.0,1405.0,70.0,5.0
1827,Nissan,2016,800000,36000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.5,5.0
1828,Hyundai,2017,350000,20000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0
1831,Tata,2010,170000,110000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,71.0,5.0
1832,Renault,2018,395000,10800,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0
1834,Maruti,2019,500000,15000,Petrol,Individual,Manual,First Owner,20.89,1197.0,81.8,5.0
1841,Maruti,2012,254999,30000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
1842,Maruti,2011,180000,60000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0
1845,Maruti,2015,270000,49900,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0
1846,Tata,2012,310000,86000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0
1847,Datsun,2015,225000,71850,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0
1848,Fiat,2015,300000,95000,Diesel,Individual,Manual,Third Owner,21.2,1248.0,75.0,5.0
1849,Maruti,2008,250000,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.5,1298.0,85.8,5.0
1850,Hyundai,2011,180000,35000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0
1851,Maruti,2015,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0
1855,Maruti,2015,590000,110000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0
1856,Maruti,2008,170000,112000,LPG,Individual,Manual,Second Owner,17.3,1061.0,57.5,5.0
1858,Maruti,2016,475000,110000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5.0
1859,Hyundai,2018,700000,29000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5.0
1860,Maruti,2011,376000,60000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0
1863,Maruti,2016,390000,80000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0
1866,Maruti,2010,170000,75000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
1867,Maruti,2010,215000,120000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0
1868,Honda,2010,350000,110000,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5.0
1869,Chevrolet,2009,80000,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.0,995.0,62.0,5.0
1870,Hyundai,2012,195000,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0
1871,Nissan,2014,335000,71000,Diesel,Dealer,Manual,First Owner,21.64,1461.0,84.8,5.0
1873,Renault,2015,484999,75000,Diesel,Dealer,Manual,First Owner,19.87,1461.0,83.8,5.0
1874,Maruti,2018,650000,22000,Petrol,Individual,Manual,Second Owner,21.56,1462.0,103.25,5.0
1876,Hyundai,2018,700000,30000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0
1879,Volkswagen,2013,350000,80000,Diesel,Individual,Manual,First Owner,22.07,1199.0,73.9,5.0
1882,Maruti,2017,750000,51777,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0
1884,Honda,2018,600000,20000,Petrol,Individual,Manual,First Owner,19.5,1199.0,88.76,5.0
1885,Volkswagen,2018,565000,19000,Petrol,Individual,Manual,First Owner,18.78,999.0,75.0,5.0
1887,Datsun,2016,329000,19000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0
1888,Ford,2016,650000,50000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0
1890,Renault,2013,345000,100000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0
1892,Maruti,2012,330000,50000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0
1893,Maruti,2014,300000,74537,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5.0
1894,Maruti,2009,200000,90000,Petrol,Individual,Automatic,Second Owner,12.6,1586.0,103.3,5.0
1895,Chevrolet,2010,90000,70000,Petrol,Individual,Manual,Second Owner,18.0,995.0,62.0,5.0
1896,Maruti,2010,200000,80000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0
1897,Hyundai,2016,550000,35000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.0,5.0
1898,Chevrolet,2015,250000,23500,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,5.0
1899,Honda,2017,975000,82000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5.0
1901,Hyundai,2018,610000,15000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0
1902,Maruti,2017,620000,30000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0
1903,Hyundai,2016,400000,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0
1904,Maruti,2019,500000,11000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.0,5.0
1906,Tata,2016,360000,110000,Diesel,Individual,Manual,First Owner,23.0,1248.0,88.7,5.0
1907,Maruti,2012,252000,48000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0
1908,Maruti,2012,280000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0
1909,Maruti,2018,509999,70000,Petrol,Individual,Manual,Second Owner,22.0,1197.0,81.8,5.0
1911,Maruti,2010,200000,40000,LPG,Individual,Manual,Fourth & Above Owner,17.3,1061.0,57.5,5.0
1912,Maruti,2005,60000,90000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0
1916,Maruti,2017,725000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
1918,Tata,2017,430000,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0
1919,Maruti,2011,235000,100000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0
1920,Maruti,2012,350000,52000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0
1921,Hyundai,2010,131000,80000,Petrol,Individual,Manual,Third Owner,19.81,1086.0,68.05,5.0
1922,Honda,2016,450000,85000,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,5.0
1923,Maruti,2016,750000,83000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
1924,Maruti,2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
1925,Maruti,2009,125000,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061.0,67.0,5.0
1927,Maruti,2012,380000,70000,Diesel,Individual,Manual,Third Owner,22.9,1248.0,74.0,5.0
1928,Maruti,2008,128000,19000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0
1929,Honda,2009,250000,68600,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5.0
1932,Honda,2012,560000,40000,Petrol,Individual,Manual,Second Owner,16.8,1497.0,116.3,5.0
1933,Maruti,2016,400000,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0
1934,Maruti,2012,200000,29500,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0
1936,Maruti,2016,300000,50000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0
1937,Renault,2016,315000,30000,Petrol,Individual,Manual,Second Owner,25.17,799.0,53.3,5.0
1938,Maruti,2012,220000,100000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
1939,Chevrolet,2011,130000,60000,Petrol,Individual,Manual,Second Owner,14.49,1399.0,92.7,5.0
1940,Hyundai,2016,595000,60000,Diesel,Individual,Manual,Second Owner,22.54,1396.0,88.73,5.0
1941,Tata,2011,110000,120000,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5.0
1943,Fiat,2013,280000,52000,Diesel,Individual,Manual,First Owner,20.3,1248.0,75.0,5.0
1944,Maruti,2017,530000,30000,Petrol,Individual,Manual,Second Owner,21.4,1197.0,83.1,5.0
1945,Hyundai,2017,610000,14000,Petrol,Individual,Manual,First Owner,19.1,1197.0,82.0,5.0
1947,Tata,2018,500000,50000,Diesel,Individual,Manual,First Owner,24.7,1047.0,69.0,5.0
1949,Hyundai,2018,325000,10000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0
1950,Maruti,2018,550000,10000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0
1951,Maruti,2018,720000,25000,Petrol,Individual,Manual,First Owner,20.73,1373.0,91.1,5.0
1953,Maruti,2013,350000,60000,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,5.0
1954,Hyundai,2018,500000,40000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0
1955,Maruti,2012,380000,60000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5.0
1956,Hyundai,2015,380000,50000,Petrol,Individual,Automatic,First Owner,16.9,1197.0,82.0,5.0
1958,Maruti,2017,295000,35000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0
1959,Maruti,2016,640000,40000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0
1960,Tata,2018,790000,60000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0
1963,Maruti,2015,315000,29000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0
1964,Mahindra,2019,950000,17000,Diesel,Individual,Manual,First Owner,20.0,1497.0,115.0,5.0
1965,Maruti,2017,400000,50000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0
1966,Hyundai,2018,700000,42000,Petrol,Individual,Automatic,First Owner,18.6,1368.0,98.63,5.0
1968,Mahindra,2012,260000,110000,Diesel,Individual,Manual,First Owner,21.03,1461.0,65.0,5.0
1969,Tata,2012,200000,90000,Diesel,Individual,Manual,First Owner,23.57,1396.0,70.0,5.0
1970,Maruti,2020,580000,70000,Petrol,Individual,Manual,First Owner,23.26,1197.0,88.5,5.0
1971,Volkswagen,2011,330000,66000,Diesel,Individual,Manual,Second Owner,20.5,1598.0,105.0,5.0
1972,Hyundai,2011,400000,70000,Diesel,Individual,Manual,Third Owner,16.2,1493.0,110.0,5.0
1974,Mahindra,2014,250000,50000,Diesel,Individual,Manual,Second Owner,21.03,1461.0,65.0,5.0
1975,Skoda,2019,725000,25000,Petrol,Individual,Manual,First Owner,15.41,1598.0,103.2,5.0
1976,Maruti,2013,300000,70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0
1980,Tata,2014,400000,45000,Diesel,Individual,Manual,First Owner,19.1,1405.0,70.0,5.0
1981,Tata,2005,140000,90000,Diesel,Individual,Manual,Third Owner,16.1,1405.0,70.0,5.0
1983,Ford,2003,110000,83000,Petrol,Individual,Manual,Second Owner,13.8,1299.0,70.0,5.0
1985,Chevrolet,2008,150000,60000,Petrol,Individual,Manual,Fourth & Above Owner,15.26,1150.0,74.9,5.0
1987,Hyundai,2011,300000,138000,Petrol,Individual,Manual,Third Owner,17.0,1197.0,80.0,5.0
1988,Maruti,2015,280000,80000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
1989,Hyundai,2005,130000,50000,Petrol,Individual,Manual,Second Owner,15.3,1341.0,83.0,5.0
1990,Chevrolet,2015,350000,50000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5.0
1991,Maruti,2009,200000,120000,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,5.0
1992,Maruti,2018,550000,24400,Petrol,Individual,Manual,First Owner,22.0,1197.0,81.8,5.0
1994,Maruti,2010,170000,120000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,85.8,5.0
1995,Hyundai,2015,600000,60000,Diesel,Individual,Manual,Second Owner,24.8,1396.0,88.7,5.0
1996,Maruti,2011,130000,100000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
1998,Renault,2016,310000,27500,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0
2000,Hyundai,2010,200000,120000,Petrol,Individual,Manual,Third Owner,18.5,1197.0,80.0,5.0
2001,Hyundai,2015,650000,80000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0
2002,Tata,2013,210000,120000,Petrol,Individual,Manual,First Owner,15.64,1193.0,64.1,5.0
2003,Hyundai,2015,509999,90000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.01,5.0
2004,Ford,2013,229999,70000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0
2005,Renault,2014,409999,188000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0
2006,Chevrolet,2011,130000,67840,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,5.0
2008,Maruti,2016,225000,35000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0
2009,Maruti,2017,775000,100000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
2010,Maruti,2017,420000,30000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0
2011,Hyundai,2016,480000,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0
2013,Volkswagen,2018,600000,15000,Petrol,Individual,Manual,First Owner,16.2,1199.0,74.0,5.0
2014,Ford,2009,140000,140000,Diesel,Individual,Manual,Second Owner,13.8,1399.0,68.0,5.0
2016,Maruti,2007,195000,112880,Diesel,Dealer,Manual,First Owner,25.2,1248.0,74.0,5.0
2017,Tata,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,19.4,1405.0,70.0,5.0
2018,Maruti,2006,130000,80000,Petrol,Individual,Manual,Third Owner,18.9,998.0,67.1,5.0
2019,Chevrolet,2012,141000,128000,Petrol,Individual,Manual,Third Owner,18.6,1199.0,79.4,5.0
2021,Maruti,2010,350000,30000,Petrol,Individual,Automatic,First Owner,12.6,1586.0,103.2,5.0
2022,Tata,2018,575000,70000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0
2023,Hyundai,2015,550000,41000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0
2024,Maruti,2006,120000,30000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
